Type of split	Corpus	Model	Convergence	Fractional polynomial variant	True positives (train)	True negatives (train)	False positives (train)	False negatives (train)	True positives (test)	True negatives (test)	False positives (test)	False negatives (test)	AIC
non_consecutive	da	III	yes	1	237	4540	224	2163	69	1189	57	521	8837
non_consecutive	da	III	yes	2	240	4560	204	2160	66	1193	53	524	8822
non_consecutive	da	III	no	3									
non_consecutive	da	IV	yes	0	220	4557	207	2180	66	1184	62	524	8836
non_consecutive	da	IV	yes	1	222	4555	209	2178	66	1183	63	524	8832
non_consecutive	da	IV	yes	2	236	4562	202	2164	58	1189	57	532	8823
non_consecutive	da	IV	no	3									
non_consecutive	familjeliv	I	yes	0	520126	0	296172	0	129633	0	74069	0	1069394
non_consecutive	familjeliv	I	yes	1	520126	0	296172	0	129633	0	74069	0	1069394
non_consecutive	familjeliv	I	yes	2	520126	0	296172	0	129633	0	74069	0	1069394
non_consecutive	familjeliv	I	yes	3	520126	0	296172	0	129633	0	74069	0	1069394
non_consecutive	familjeliv	II	yes	0	520126	0	296172	0	129633	0	74069	0	1054910
non_consecutive	familjeliv	II	yes	1	516573	5086	291086	3553	128808	1295	72774	825	1053209
non_consecutive	familjeliv	II	yes	2	490795	35099	261073	29331	122295	8875	65194	7338	1050883
non_consecutive	familjeliv	II	yes	3	490795	35099	261073	29331	122295	8875	65194	7338	1050832
non_consecutive	familjeliv	III	yes	0	500111	24457	271715	20015	124626	6219	67850	5007	1044851
non_consecutive	familjeliv	III	yes	1	494335	31815	264357	25791	123205	8072	65997	6428	1043149
non_consecutive	familjeliv	III	yes	2	484861	43086	253086	35265	120885	10947	63122	8748	1040948
non_consecutive	familjeliv	III	yes	3	484961	43019	253153	35165	120897	10949	63120	8736	1040904
non_consecutive	familjeliv	IV	yes	0	501792	23224	272948	18334	125063	5918	68151	4570	1044310
non_consecutive	familjeliv	IV	yes	1	495460	31367	264805	24666	123441	7920	66149	6192	1042581
non_consecutive	familjeliv	IV	yes	2	484204	43972	252200	35922	120730	11104	62965	8903	1040364
non_consecutive	familjeliv	IV	no	3									
non_consecutive	flashback	I	yes	0	701872	0	386399	0	175337	0	96392	0	1415889
non_consecutive	flashback	I	yes	1	701872	0	386399	0	175337	0	96392	0	1415889
non_consecutive	flashback	I	yes	2	701872	0	386399	0	175337	0	96392	0	1415889
non_consecutive	flashback	I	yes	3	701872	0	386399	0	175337	0	96392	0	1415889
non_consecutive	flashback	II	yes	0	701872	0	386399	0	175337	0	96392	0	1409464
non_consecutive	flashback	II	yes	1	701872	0	386399	0	175337	0	96392	0	1408475
non_consecutive	flashback	II	yes	2	701872	0	386399	0	175337	0	96392	0	1406320
non_consecutive	flashback	II	yes	3	686087	15845	370554	15785	171324	3876	92516	4013	1404675
non_consecutive	flashback	III	yes	0	684048	20755	365644	17824	170979	5056	91336	4358	1391139
non_consecutive	flashback	III	yes	1	682753	22627	363772	19119	170662	5465	90927	4675	1390168
non_consecutive	flashback	III	yes	2	677739	28903	357496	24133	169310	7005	89387	6027	1388052
non_consecutive	flashback	III	yes	3	673634	33005	353394	28238	168279	8021	88371	7058	1386490
non_consecutive	flashback	IV	yes	0	683984	20989	365410	17888	170970	5104	91288	4367	1390972
non_consecutive	flashback	IV	yes	1	682776	22707	363692	19096	170673	5474	90918	4664	1390028
non_consecutive	flashback	IV	yes	2	677877	28695	357704	23995	169428	6950	89442	5909	1387759
non_consecutive	flashback	IV	no	3									
non_consecutive	gp	I	yes	0	0	118107	0	17223	0	29290	0	4380	103166
non_consecutive	gp	I	yes	1	0	118107	0	17223	0	29290	0	4380	103166
non_consecutive	gp	I	yes	2	0	118107	0	17223	0	29290	0	4380	103166
non_consecutive	gp	I	yes	3	0	118107	0	17223	0	29290	0	4380	103166
non_consecutive	gp	II	yes	0	0	118107	0	17223	0	29290	0	4380	101550
non_consecutive	gp	II	yes	1	0	118107	0	17223	0	29290	0	4380	101485
non_consecutive	gp	II	yes	2	0	118107	0	17223	0	29290	0	4380	101385
non_consecutive	gp	II	yes	3	0	118107	0	17223	0	29290	0	4380	101384
non_consecutive	gp	III	yes	0	1364	116945	1162	15859	353	28969	321	4027	93603
non_consecutive	gp	III	yes	1	1360	116953	1154	15863	352	28975	315	4028	93537
non_consecutive	gp	III	yes	2	1279	116994	1113	15944	324	29002	288	4056	93441
non_consecutive	gp	III	yes	3	1261	117008	1099	15962	316	29008	282	4064	93439
non_consecutive	gp	IV	yes	0	1222	117146	961	16001	324	29023	267	4056	93415
non_consecutive	gp	IV	yes	1	1215	117161	946	16008	326	29030	260	4054	93348
non_consecutive	gp	IV	yes	2	1223	117135	972	16000	326	29022	268	4054	93255
non_consecutive	gp	IV	no	3									
non_consecutive	svt	I	yes	0	0	73768	0	22272	0	18349	0	5611	104026
non_consecutive	svt	I	yes	1	0	73768	0	22272	0	18349	0	5611	104026
